iter	Passed	Remaining
1214	37793	55523
1215	37824	55491
1216	37854	55459
1217	37884	55427
1218	37915	55395
1219	37946	55364
1220	37979	55336
1221	38010	55304
1222	38042	55275
1223	38072	55243
1224	38103	55211
1225	38134	55179
1226	38163	55145
1227	38192	55111
1228	38224	55081
1229	38252	55046
1230	38281	55012
1231	38313	54982
1232	38345	54951
1233	38375	54919
1234	38406	54888
1235	38433	54851
1236	38461	54815
1237	38491	54783
1238	38521	54750
1239	38553	54720
1240	38583	54688
1241	38614	54657
1242	38644	54625
1243	38673	54590
1244	38701	54554
1245	38729	54519
1246	38757	54484
1247	38787	54451
1248	38816	54417
1249	38848	54388
1250	38879	54356
1251	38909	54324
1252	38940	54292
1253	38970	54260
1254	39000	54227
1255	39031	54196
1256	39063	54166
1257	39090	54130
1258	39120	54097
1259	39149	54063
1260	39177	54028
1261	39206	53993
1262	39234	53958
1263	39261	53922
1264	39289	53887
1265	39321	53857
1266	39352	53826
1267	39383	53795
1268	39414	53763
1269	39444	53732
1270	39475	53700
1271	39506	53669
1272	39537	53638
1273	39569	53607
1274	39599	53576
1275	39632	53547
1276	39663	53516
1277	39695	53486
1278	39728	53458
1279	39762	53430
1280	39796	53403
1281	39830	53375
1282	39861	53345
1283	39892	53314
1284	39923	53282
1285	39952	53249
1286	39982	53217
1287	40015	53187
1288	40046	53157
1289	40079	53128
1290	40111	53098
1291	40141	53066
1292	40174	53037
1293	40204	53005
1294	40234	52972
1295	40266	52942
1296	40297	52911
1297	40328	52880
1298	40359	52849
1299	40392	52820
1300	40426	52793
1301	40460	52766
1302	40495	52740
1303	40529	52713
1304	40563	52686
1305	40597	52659
1306	40632	52632
1307	40665	52603
1308	40698	52575
1309	40731	52546
1310	40765	52518
1311	40797	52490
1312	40832	52463
1313	40865	52434
1314	40899	52406
1315	40929	52374
1316	40957	52339
1317	40987	52307
1318	41016	52273
1319	41046	52241
1320	41076	52209
1321	41106	52175
1322	41135	52142
1323	41164	52109
1324	41194	52076
1325	41224	52043
1326	41253	52010
1327	41283	51977
1328	41312	51943
1329	41341	51910
1330	41369	51875
1331	41398	51841
1332	41428	51808
1333	41458	51776
1334	41488	51744
1335	41517	51710
1336	41546	51676
1337	41576	51643
1338	41606	51612
1339	41638	51582
1340	41669	51550
1341	41697	51516
1342	41727	51483
1343	41756	51449
1344	41785	51416
1345	41814	51382
1346	41842	51347
1347	41871	51314
1348	41902	51283
1349	41936	51255
1350	41969	51226
1351	42002	51198
1352	42033	51167
1353	42066	51138
1354	42096	51106
1355	42126	51074
1356	42156	51041
1357	42189	51012
1358	42221	50982
1359	42253	50952
1360	42285	50922
1361	42317	50892
1362	42350	50864
1363	42379	50830
1364	42408	50797
1365	42438	50764
1366	42467	50730
1367	42497	50698
1368	42526	50665
1369	42558	50635
1370	42589	50603
1371	42621	50574
1372	42651	50542
1373	42682	50510
